date,tenant_id,revenue,expenses,cash_inflow,cash_outflow,outstanding_invoices,profit
2018-05-07,pulse-demo,11177.94,30750.85,48605.09,39190.05,11127.02,-19572.91
2018-05-09,pulse-demo,34136.06,14715.97,46950.61,11214.75,3229.30,19420.09
2018-05-15,pulse-demo,42108.37,24399.37,34774.10,44090.72,6117.53,17709.00
2018-05-17,pulse-demo,17153.04,15097.16,32712.24,44461.44,15157.71,2055.88
2018-05-20,pulse-demo,41343.96,36148.60,80585.59,69018.66,7671.16,5195.36
2018-05-22,pulse-demo,42592.60,30407.60,46250.32,29778.62,1350.92,12185.00
2018-05-24,pulse-demo,46072.97,32361.83,15761.17,47244.44,11212.03,13711.14
2018-05-25,pulse-demo,47351.46,11575.63,21601.67,32875.51,9063.42,35775.83
2018-05-31,pulse-demo,42377.44,10004.86,35500.02,35839.46,11302.36,32372.58
2018-06-02,pulse-demo,15925.85,18339.28,40378.45,15789.06,2901.43,-2413.43
2018-06-04,pulse-demo,40537.54,14757.83,49676.47,35932.12,9256.50,25779.71
2018-06-08,pulse-demo,47596.92,30588.74,33814.52,14366.57,9582.98,17008.18
2018-06-14,pulse-demo,11437.32,29830.85,34647.29,8567.38,7721.54,-18393.53
2018-06-16,pulse-demo,34786.66,52695.75,59471.51,42111.32,18264.41,-17909.09
2018-06-19,pulse-demo,15413.92,8557.37,24462.23,14876.46,7390.45,6856.55
2018-06-25,pulse-demo,27702.09,8702.94,44269.47,9787.57,8491.30,18999.15
2018-06-28,pulse-demo,41904.15,28755.19,43951.07,38740.33,275.45,13148.96
2018-07-01,pulse-demo,14921.36,17037.76,19285.03,40747.41,7118.84,-2116.40
2018-07-03,pulse-demo,10809.34,17144.03,34386.92,20202.87,5083.04,-6334.69
2018-07-13,pulse-demo,31871.34,39445.17,49820.47,42987.96,18570.41,-7573.83
2018-07-14,pulse-demo,40402.28,19224.50,49398.63,13463.30,16856.30,21177.78
2018-07-15,pulse-demo,31705.41,29372.10,14289.78,17267.93,6174.71,2333.31
2018-07-21,pulse-demo,39486.64,29543.76,48519.10,28879.83,18242.17,9942.88
2018-07-31,pulse-demo,19761.69,18437.17,16373.70,32429.47,10418.53,1324.52
2018-08-01,pulse-demo,78832.72,69884.91,76769.64,85953.14,13181.35,8947.81
2018-08-04,pulse-demo,25509.56,39393.42,24163.06,13893.28,17668.98,-13883.86
2018-08-05,pulse-demo,63962.25,46302.75,63317.24,59400.16,9180.39,17659.50
2018-08-07,pulse-demo,44626.27,9013.66,46801.90,15437.61,3620.27,35612.61
2018-08-15,pulse-demo,47786.74,30661.49,19381.03,49032.24,12966.61,17125.25
2018-08-17,pulse-demo,38302.63,28428.24,19611.54,48425.96,14980.12,9874.39
2018-08-18,pulse-demo,31527.55,34111.67,43411.12,10820.01,8768.13,-2584.12
2018-08-23,pulse-demo,39299.36,36114.48,49350.03,15705.22,924.79,3184.88
2018-08-29,pulse-demo,11324.63,24710.49,45169.51,24662.10,1716.34,-13385.86
2018-09-09,pulse-demo,42299.29,25109.80,19518.99,30716.78,8655.75,17189.49
2018-09-15,pulse-demo,31317.68,12893.63,29683.46,47393.02,4731.32,18424.05
2018-09-19,pulse-demo,15685.28,32291.92,41620.43,30894.21,5336.22,-16606.64
2018-09-23,pulse-demo,23592.31,39283.42,16437.38,46138.49,994.24,-15691.11
2018-09-24,pulse-demo,35075.10,35834.00,48842.55,9502.55,5997.16,-758.90
2018-09-25,pulse-demo,46022.75,30260.30,20307.66,40887.12,8280.57,15762.45
2018-09-30,pulse-demo,37798.75,16400.74,28066.45,11663.85,578.88,21398.01
2018-10-05,pulse-demo,36424.57,13836.23,45738.86,48024.26,7893.27,22588.34
2018-10-11,pulse-demo,11080.77,21186.53,33255.62,32555.16,13148.28,-10105.76
2018-10-14,pulse-demo,44837.73,12425.85,37438.15,15470.70,19593.18,32411.88
2018-10-22,pulse-demo,99705.16,107989.56,81821.58,72823.90,20456.37,-8284.40
2018-10-24,pulse-demo,48355.41,14173.16,33002.99,25341.40,6647.04,34182.25
2018-11-02,pulse-demo,33739.50,14872.56,38033.79,21054.33,18386.38,18866.94
2018-11-03,pulse-demo,11938.26,27540.20,38018.70,44687.00,15949.07,-15601.94
2018-11-12,pulse-demo,60014.31,50120.26,41655.38,32807.46,19777.24,9894.05
2018-11-20,pulse-demo,37712.98,51467.40,65603.07,74611.90,32097.83,-13754.42
2018-11-21,pulse-demo,16290.00,26719.58,12560.61,20322.30,16279.09,-10429.58
2018-11-23,pulse-demo,25080.23,16226.78,14433.20,25496.92,5762.82,8853.45
2018-11-28,pulse-demo,38864.97,9286.04,27268.83,33875.39,8181.01,29578.93
2018-12-04,pulse-demo,10514.08,10412.93,12284.69,15266.85,16868.66,101.15
2018-12-06,pulse-demo,44625.98,21062.33,37160.95,35793.30,16291.02,23563.65
2018-12-11,pulse-demo,58211.01,48880.21,57076.88,57820.55,13432.87,9330.80
2018-12-14,pulse-demo,49717.45,12098.02,48679.55,23352.18,12653.21,37619.43
2018-12-22,pulse-demo,13597.04,9278.22,28714.79,14137.67,14625.31,4318.82
2018-12-24,pulse-demo,47374.80,47837.55,56753.82,72526.44,18432.02,-462.75
2018-12-30,pulse-demo,31786.97,39406.15,35758.57,11818.24,6609.90,-7619.18
2019-01-01,pulse-demo,47493.11,10566.54,30475.25,39922.63,19501.45,36926.57
2019-01-04,pulse-demo,46314.86,23491.08,19742.36,28384.55,19697.21,22823.78
2019-01-09,pulse-demo,47979.00,12547.90,20832.08,47733.61,13616.78,35431.10
2019-01-13,pulse-demo,51303.63,33692.91,74263.67,65965.95,4515.31,17610.72
2019-01-14,pulse-demo,19363.51,10864.79,27349.46,39672.41,3090.04,8498.72
2019-01-18,pulse-demo,48915.85,24569.06,22539.18,30387.30,6507.45,24346.79
2019-01-20,pulse-demo,10171.53,29661.79,20871.58,16631.89,9345.01,-19490.26
2019-01-25,pulse-demo,10644.85,14444.61,25920.16,31509.06,15649.75,-3799.76
2019-01-28,pulse-demo,41690.58,22682.01,35218.34,40559.36,4100.04,19008.57
2019-02-02,pulse-demo,10871.10,32020.62,17820.93,34187.95,13565.84,-21149.52
2019-02-19,pulse-demo,16373.15,22345.70,17032.29,38077.93,3496.99,-5972.55
2019-02-23,pulse-demo,17960.17,32088.65,44181.93,18121.16,6928.11,-14128.48
2019-02-25,pulse-demo,20639.93,23684.69,35647.19,40708.48,9383.96,-3044.76
2019-02-28,pulse-demo,40723.13,26527.17,43832.46,24037.69,13562.58,14195.96
2019-03-02,pulse-demo,31911.85,22230.22,36540.18,33500.54,17992.33,9681.63
2019-03-04,pulse-demo,80789.55,47568.51,62046.03,71084.28,2514.37,33221.04
2019-03-08,pulse-demo,18292.83,25263.59,29765.49,16839.31,17693.97,-6970.76
2019-03-12,pulse-demo,30889.58,15632.81,43509.70,20615.30,2683.73,15256.77
2019-03-14,pulse-demo,38310.59,56595.15,42498.97,68485.81,12517.48,-18284.56
2019-03-17,pulse-demo,38412.74,39672.12,48718.52,42146.17,17321.32,-1259.38
2019-03-18,pulse-demo,18214.45,19844.63,44527.11,40260.45,4157.73,-1630.18
2019-03-25,pulse-demo,24344.58,20070.03,49560.06,38051.58,4445.28,4274.55
2019-04-12,pulse-demo,18323.12,28725.11,22039.62,26488.05,6443.98,-10401.99
2019-04-13,pulse-demo,25737.79,33662.74,11442.03,35999.39,2208.94,-7924.95
2019-04-18,pulse-demo,53422.40,50060.94,42916.05,68307.03,23393.19,3361.46
2019-04-24,pulse-demo,27039.63,12274.89,12839.63,9618.47,17651.45,14764.74
2019-04-26,pulse-demo,11028.90,34142.28,36187.49,31569.75,3524.12,-23113.38
2019-04-28,pulse-demo,14481.10,31982.22,13689.34,14486.41,1057.96,-17501.12
2019-04-29,pulse-demo,45070.35,26336.98,24418.56,48474.99,19310.67,18733.37
2019-04-30,pulse-demo,30479.22,17627.04,15898.95,16743.74,15229.35,12852.18
2019-05-07,pulse-demo,56484.85,42348.55,76859.36,61842.81,10768.58,14136.30
2019-05-08,pulse-demo,14230.77,22497.29,12242.34,39203.58,815.68,-8266.52
2019-05-10,pulse-demo,41734.01,41726.10,83048.07,64942.11,8947.61,7.91
2019-05-14,pulse-demo,31222.28,11634.72,16059.59,24144.60,9807.74,19587.56
2019-05-19,pulse-demo,63662.25,57143.97,89676.77,43965.68,21949.51,6518.28
2019-05-22,pulse-demo,45458.21,39632.01,35776.12,8310.66,13687.34,5826.20
2019-05-26,pulse-demo,31145.98,10759.99,34491.79,21353.57,12097.85,20385.99
2019-05-31,pulse-demo,44052.58,23222.99,20799.57,44850.63,15229.61,20829.59
2019-06-03,pulse-demo,25124.83,13052.49,19892.13,26165.83,13510.13,12072.34
2019-06-05,pulse-demo,34942.30,18425.34,16126.68,13420.61,2642.17,16516.96
2019-06-08,pulse-demo,28725.38,21144.54,42851.91,46180.64,2493.44,7580.84
2019-06-09,pulse-demo,25756.78,16773.19,44898.83,29119.88,12235.67,8983.59
2019-06-12,pulse-demo,14597.71,13804.30,47801.96,19040.84,6583.65,793.41
2019-06-16,pulse-demo,26612.02,13257.84,32203.52,42459.56,2910.36,13354.18
2019-06-23,pulse-demo,23171.95,22294.29,35870.70,49725.77,10615.07,877.66
2019-06-24,pulse-demo,16055.74,25961.53,45631.79,44829.14,6741.74,-9905.79
2019-06-28,pulse-demo,29671.90,39616.16,33182.95,22934.86,3728.55,-9944.26
2019-06-30,pulse-demo,31954.58,31580.22,22242.31,49260.21,19071.20,374.36
2019-07-03,pulse-demo,27824.55,37135.50,24687.15,29172.04,13068.81,-9310.95
2019-07-04,pulse-demo,67911.40,45150.09,51683.16,62952.53,18602.52,22761.31
2019-07-06,pulse-demo,11209.21,17829.52,34149.71,36789.46,5526.41,-6620.31
2019-07-08,pulse-demo,19875.09,11676.34,49214.34,16661.25,16658.93,8198.75
2019-07-13,pulse-demo,14373.41,14700.40,20115.03,21754.72,2660.10,-326.99
2019-07-14,pulse-demo,38190.11,12695.46,40350.94,22014.09,17044.59,25494.65
2019-07-18,pulse-demo,33707.31,16764.06,45601.82,29281.67,2471.98,16943.25
2019-07-22,pulse-demo,48552.95,21314.66,30714.34,19623.39,2174.51,27238.29
2019-07-27,pulse-demo,17729.26,25531.99,23769.33,43075.36,1537.12,-7802.73
2019-08-04,pulse-demo,34843.24,10161.78,35098.64,29931.42,11653.48,24681.46
2019-08-05,pulse-demo,34850.74,36501.80,38240.62,24073.47,15206.38,-1651.06
2019-08-06,pulse-demo,33595.08,15160.04,37107.85,15201.78,11224.97,18435.04
2019-08-08,pulse-demo,44446.81,18234.25,28895.93,11972.69,12552.83,26212.56
2019-08-11,pulse-demo,36923.06,47680.79,86889.88,75384.33,21547.58,-10757.73
2019-08-15,pulse-demo,33922.28,19059.79,29926.30,43574.24,5579.52,14862.49
2019-08-16,pulse-demo,10315.23,24887.58,15603.87,41464.15,1891.27,-14572.35
2019-08-21,pulse-demo,26547.02,37169.57,39402.02,10480.15,9999.76,-10622.55
2019-08-25,pulse-demo,14716.38,34988.44,21079.97,10717.24,3406.59,-20272.06
2019-09-02,pulse-demo,11700.75,29938.30,17682.67,34241.99,19690.77,-18237.55
2019-09-09,pulse-demo,24427.37,12480.06,36997.23,13587.55,10075.93,11947.31
2019-09-11,pulse-demo,35237.92,8169.73,20758.33,10588.02,3317.08,27068.19
2019-09-17,pulse-demo,10653.79,13324.45,22674.53,26535.48,2232.21,-2670.66
2019-09-22,pulse-demo,46705.31,57106.86,91542.29,58619.85,5668.96,-10401.55
2019-09-30,pulse-demo,41124.95,18359.65,15176.92,46271.50,12234.26,22765.30
2019-10-02,pulse-demo,41491.03,20595.64,25036.22,30916.16,3441.88,20895.39
2019-10-03,pulse-demo,37164.92,34181.18,43837.08,20112.84,14087.57,2983.74
2019-10-04,pulse-demo,45694.61,37933.89,22789.92,18759.90,18610.07,7760.72
2019-10-07,pulse-demo,40171.10,34394.79,42249.91,14725.33,5419.88,5776.31
2019-10-08,pulse-demo,34079.00,19887.31,32485.14,35953.37,19472.69,14191.69
2019-10-14,pulse-demo,37218.09,13614.02,38185.78,13909.34,19182.00,23604.07
2019-10-27,pulse-demo,64608.42,62074.00,61645.72,56500.53,22123.10,2534.42
2019-10-29,pulse-demo,81055.60,62293.17,94638.69,52682.02,17452.29,18762.43
2019-11-02,pulse-demo,42101.15,26952.99,16182.23,33372.22,11154.66,15148.16
2019-11-09,pulse-demo,44305.45,56446.92,65930.79,51299.34,20203.22,-12141.47
2019-11-10,pulse-demo,36840.10,11419.12,22516.02,45998.77,9017.63,25420.98
2019-11-12,pulse-demo,24782.09,24769.83,10861.66,8215.03,10821.87,12.26
2019-11-15,pulse-demo,31785.86,19398.63,22320.69,24445.35,3323.60,12387.23
2019-11-18,pulse-demo,24292.50,21904.42,33947.96,23324.88,5970.14,2388.08
2019-11-19,pulse-demo,49021.58,10768.71,12547.15,35507.39,1415.30,38252.87
2019-11-22,pulse-demo,31897.53,20167.85,43730.78,35826.88,133.58,11729.68
2019-11-26,pulse-demo,21810.44,36003.23,13666.58,8655.20,1427.83,-14192.79
2019-11-27,pulse-demo,39708.24,19121.09,19013.72,24396.97,9319.24,20587.15
2019-12-04,pulse-demo,49699.73,31220.91,19689.46,41915.51,3218.91,18478.82
2019-12-07,pulse-demo,26249.73,8332.09,39426.80,48981.39,7006.17,17917.64
2019-12-10,pulse-demo,11863.23,16412.85,12076.03,13513.18,18363.24,-4549.62
2019-12-12,pulse-demo,24204.39,19135.13,39487.77,48353.40,1691.64,5069.26
2019-12-15,pulse-demo,32467.32,23559.30,11213.51,19876.41,1577.57,8908.02
2019-12-21,pulse-demo,44487.42,8505.71,25113.74,35266.93,9152.05,35981.71
2019-12-23,pulse-demo,29535.05,33422.64,46513.68,14973.45,15342.51,-3887.59
2019-12-27,pulse-demo,24034.87,18331.54,29199.38,24712.12,9109.69,5703.33
2019-12-31,pulse-demo,41651.49,27390.51,39063.38,9400.88,6335.58,14260.98
2020-01-01,pulse-demo,39459.62,34826.35,66640.73,78831.34,16918.85,4633.27
2020-01-04,pulse-demo,23724.40,29719.31,10504.05,35035.76,2551.69,-5994.91
2020-01-10,pulse-demo,48151.81,38403.36,11996.61,47769.04,1396.39,9748.45
2020-01-13,pulse-demo,47255.75,21421.96,48917.98,28262.50,2480.06,25833.79
2020-01-21,pulse-demo,31525.15,20538.28,34258.09,12183.08,16323.66,10986.87
2020-01-26,pulse-demo,32480.77,23817.02,16172.09,24755.10,10423.21,8663.75
2020-02-16,pulse-demo,29625.69,10732.75,35064.11,48091.76,16928.09,18892.94
2020-02-17,pulse-demo,55828.20,61241.01,58608.37,85808.17,26604.43,-5412.81
2020-02-28,pulse-demo,25643.62,27809.70,18091.03,17314.66,1257.87,-2166.08
2020-03-02,pulse-demo,34348.94,9340.34,29440.28,14017.58,9119.42,25008.60
2020-03-09,pulse-demo,15151.85,14466.98,37054.78,8446.49,9007.89,684.87
2020-03-10,pulse-demo,21073.78,33369.74,19667.70,45892.08,14673.52,-12295.96
2020-03-13,pulse-demo,42902.33,30615.78,20128.64,31671.84,712.22,12286.55
2020-03-14,pulse-demo,35640.96,18988.33,49662.83,41581.53,1779.71,16652.63
2020-04-05,pulse-demo,89723.00,55857.30,47701.95,47549.25,15692.45,33865.70
2020-04-06,pulse-demo,48149.00,10210.51,49359.42,41859.42,9420.62,37938.49
2020-04-07,pulse-demo,85411.56,44856.55,50258.56,66921.81,1075.87,40555.01
2020-04-09,pulse-demo,26833.46,39380.69,27473.71,28278.17,13853.86,-12547.23
2020-04-14,pulse-demo,11790.06,23396.92,13985.38,19824.91,11890.51,-11606.86
2020-04-16,pulse-demo,48441.54,16148.02,46937.96,31309.33,16946.49,32293.52
2020-04-27,pulse-demo,38326.78,35474.94,49697.87,31333.52,14194.64,2851.84
2020-04-29,pulse-demo,11308.43,15597.98,39065.86,8645.67,12074.03,-4289.55
2020-05-01,pulse-demo,80990.34,43880.81,91146.64,66062.95,8892.54,37109.53
2020-05-07,pulse-demo,28970.53,36689.59,43390.37,35685.10,14302.57,-7719.06
2020-05-08,pulse-demo,27559.42,19360.41,20854.07,38847.97,3567.00,8199.01
2020-05-12,pulse-demo,52486.13,24960.72,26354.34,54755.11,28749.37,27525.41
2020-05-13,pulse-demo,31027.52,37892.89,17173.01,40948.69,5773.00,-6865.37
2020-05-14,pulse-demo,31854.70,37495.78,40640.31,29700.39,14002.15,-5641.08
2020-05-15,pulse-demo,63386.57,65568.56,53886.96,84502.76,32592.45,-2181.99
2020-05-25,pulse-demo,82739.16,57455.24,50583.58,44116.14,19542.87,25283.92
2020-06-07,pulse-demo,34752.78,22527.64,12242.36,37581.79,11975.85,12225.14
2020-06-10,pulse-demo,26705.94,18702.92,40054.29,40382.27,15546.40,8003.02
2020-06-18,pulse-demo,13194.58,10841.07,29777.41,40398.21,18344.93,2353.51
2020-06-19,pulse-demo,35744.57,40125.74,44821.08,63966.08,14702.22,-4381.17
2020-06-21,pulse-demo,46042.97,38785.50,30731.11,9305.28,18471.80,7257.47
2020-06-22,pulse-demo,43443.73,27028.36,42630.21,25106.33,15041.81,16415.37
2020-06-23,pulse-demo,32128.26,34610.61,25621.38,38088.21,14896.08,-2482.35
2020-06-27,pulse-demo,10360.28,13759.03,24752.62,23839.30,3044.11,-3398.75
2020-06-29,pulse-demo,45519.52,32527.62,18360.59,47122.57,16645.38,12991.90
2020-07-03,pulse-demo,34527.30,22702.73,31000.77,31922.61,11654.05,11824.57
2020-07-04,pulse-demo,49958.51,30914.60,20414.84,49924.71,16736.11,19043.91
2020-07-07,pulse-demo,29645.82,13100.34,29264.98,11029.70,9907.51,16545.48
2020-07-09,pulse-demo,50786.63,26520.70,73459.12,75461.88,15869.99,24265.93
2020-07-10,pulse-demo,19087.07,15551.86,31850.07,41117.16,631.82,3535.21
2020-07-21,pulse-demo,32024.32,15913.33,43037.41,11739.51,2515.70,16110.99
2020-08-28,pulse-demo,15920.14,14672.90,29696.77,35235.08,1856.55,1247.24
2020-08-30,pulse-demo,45101.18,12101.54,34647.03,38389.97,7241.36,32999.64
2020-09-02,pulse-demo,32979.54,13821.25,26657.73,30120.57,10098.02,19158.29
2020-09-08,pulse-demo,46261.71,39952.77,19172.98,30172.61,13141.98,6308.94
2020-09-09,pulse-demo,37837.92,16510.44,41565.18,40642.40,4957.62,21327.48
2020-09-10,pulse-demo,49634.79,15479.22,36122.21,34625.04,17203.56,34155.57
2020-09-11,pulse-demo,16839.83,33686.91,46091.75,27666.73,981.61,-16847.08
2020-09-14,pulse-demo,76464.54,61677.32,96867.90,49676.96,9961.85,14787.22
2020-09-18,pulse-demo,23363.82,38417.83,47823.72,25337.32,8780.25,-15054.01
2020-09-19,pulse-demo,24569.56,11359.40,16460.58,25896.18,6291.89,13210.16
2020-09-25,pulse-demo,45493.79,17361.05,41002.80,16473.28,12789.43,28132.74
2020-09-28,pulse-demo,40559.93,19882.23,22443.98,19481.93,19939.86,20677.70
2020-10-05,pulse-demo,10082.58,30124.73,28107.01,43238.80,7272.19,-20042.15
2020-10-06,pulse-demo,85081.61,60586.12,43816.37,48736.46,23462.81,24495.49
2020-10-07,pulse-demo,58169.68,77353.21,51208.47,67740.99,16996.54,-19183.53
2020-10-08,pulse-demo,23494.50,23257.04,31593.98,40363.29,3195.89,237.46
2020-10-10,pulse-demo,89473.40,21943.42,58106.26,71993.98,8526.64,67529.98
2020-10-12,pulse-demo,23623.61,34531.89,41788.00,17391.17,6680.11,-10908.28
2020-10-14,pulse-demo,14909.47,39534.18,44610.77,20256.25,962.44,-24624.71
2020-10-19,pulse-demo,109618.78,100619.28,67805.13,88644.51,40691.55,8999.50
2020-10-20,pulse-demo,10927.22,28875.30,42681.45,27271.96,5595.14,-17948.08
2020-10-22,pulse-demo,43625.00,34506.93,48862.97,80761.35,23148.26,9118.07
2020-10-24,pulse-demo,28213.93,12542.79,41918.94,15415.81,1028.35,15671.14
2020-10-26,pulse-demo,21335.64,22221.36,15094.88,40339.23,6914.24,-885.72
2020-10-31,pulse-demo,23377.48,29635.03,46341.67,37740.08,5353.73,-6257.55
2020-11-02,pulse-demo,31810.97,37751.07,20185.69,31987.68,19197.26,-5940.10
2020-11-04,pulse-demo,48426.86,17601.82,46518.10,34670.01,13581.52,30825.04
2020-11-05,pulse-demo,43963.05,25741.88,30940.63,36864.41,12295.33,18221.17
2020-11-08,pulse-demo,47322.52,13765.89,27282.04,21666.11,6094.04,33556.63
2020-11-11,pulse-demo,56733.15,57725.94,72065.51,49795.20,8524.10,-992.79
2020-11-17,pulse-demo,38336.32,16942.08,12040.15,26645.42,14691.87,21394.24
2020-11-18,pulse-demo,44896.54,25977.98,46543.93,12578.52,15276.43,18918.56
2020-11-22,pulse-demo,13747.97,37204.67,15695.37,17656.60,14528.87,-23456.70
2020-11-28,pulse-demo,35317.47,22664.58,21703.68,16133.69,6237.19,12652.89
2020-12-11,pulse-demo,31465.91,19807.29,19694.15,35871.95,6444.33,11658.62
2020-12-13,pulse-demo,42262.60,21167.01,34826.82,24472.94,9045.92,21095.59
2020-12-21,pulse-demo,10942.08,26388.37,24325.89,13574.32,4638.60,-15446.29
2020-12-23,pulse-demo,33109.18,27717.76,34343.46,48741.32,9788.13,5391.42
2020-12-24,pulse-demo,36491.61,33988.76,32033.77,43843.77,14310.82,2502.85
2020-12-27,pulse-demo,48322.34,22382.17,38561.46,24808.53,6688.68,25940.17
2020-12-31,pulse-demo,36136.35,35247.50,42434.04,22485.93,6209.55,888.85
2021-01-01,pulse-demo,19871.53,28238.67,48468.44,41164.65,6336.56,-8367.14
2021-01-07,pulse-demo,42339.88,9090.39,24779.38,12395.11,17712.65,33249.49
2021-01-08,pulse-demo,20493.52,29030.15,22925.28,16553.86,13868.33,-8536.63
2021-01-14,pulse-demo,38224.57,35005.04,21771.67,20754.49,16252.60,3219.53
2021-01-17,pulse-demo,23301.12,35414.73,14224.00,19148.35,7084.33,-12113.61
2021-01-26,pulse-demo,14836.06,38508.24,18777.81,12750.89,6920.59,-23672.18
2021-01-31,pulse-demo,30578.38,28167.06,19480.51,37267.01,14201.44,2411.32
2021-02-04,pulse-demo,42548.00,25321.64,36938.67,17494.77,17663.99,17226.36
2021-02-08,pulse-demo,46301.89,22100.43,11887.13,41321.79,11887.99,24201.46
2021-03-01,pulse-demo,42862.61,22583.26,40467.55,46457.63,18519.95,20279.35
2021-03-03,pulse-demo,41388.19,22499.43,47559.20,45703.35,8751.33,18888.76
2021-03-07,pulse-demo,47731.39,8714.15,32141.60,37249.30,6112.46,39017.24
2021-03-08,pulse-demo,41156.72,15215.49,38872.97,36029.75,13735.54,25941.23
2021-03-13,pulse-demo,26687.14,33161.93,19887.05,9019.16,15003.74,-6474.79
2021-03-15,pulse-demo,50524.03,40430.54,68499.89,39646.88,23910.93,10093.49
2021-03-21,pulse-demo,36812.84,15917.97,44874.20,9351.94,75.11,20894.87
2021-03-23,pulse-demo,40622.04,17845.27,33941.29,47549.37,3535.58,22776.77
2021-03-30,pulse-demo,30438.34,26010.63,25990.02,38713.55,4119.30,4427.71
2021-03-31,pulse-demo,28088.62,23547.29,48843.96,8154.42,7218.98,4541.33
2021-04-02,pulse-demo,49850.16,21801.42,32740.14,30234.26,18399.17,28048.74
2021-04-04,pulse-demo,12106.07,32262.41,45978.00,35307.04,11029.30,-20156.34
2021-04-05,pulse-demo,24552.12,11064.15,47712.20,43778.58,9705.23,13487.97
2021-04-10,pulse-demo,23249.60,37811.47,37304.22,36279.64,3593.52,-14561.87
